Drill id,Drill Name,Category,Location,Focus,Duration (min),Description,PDF URL,YouTube Link,Goal/Reps,XP,Equipment
DRIV-OPTE-039,Opening Tee shot ,Driving,Driving Range,FIR %,10,Practicing the opening tee shot of your next round or major tournament. Visualising the shot you need and hit the club that is most likely the club you will hit. Keep hitting shots and only remember the good ones for building confidence.,,,,10,
IRON-DIDE-040,Divot Depth ,Irons,Driving Range,GIR %,10,Practicing different divot sizes from picking it clean to a large divot. Noticing ball flight differences. Also use case scenarios when you would need to change it. Low point control. ,,,,10,
IRON-HMDI-041,Hitting Multiple Distances,Irons,Driving Range,GIR %,10,Hit the same iron multiple distances on the range in 5 metre intervals. Great for the wind and also on course play.,,,,10,
IRON-LOSH-042,Low Shot,Irons,Driving Range,GIR %,10,Practice your low shot for windy days and recovery. Hitting extreme to a normal low shot. Pay attention to the systems that you use to generate the low shot. ,,,,10,
IRON-GRDW-043,Grip down Iron,Irons,Driving Range,GIR 20ft,10,Hitting grip down iron shots where you try different amounts of gripping down on the club and see the effects of flight and distance. Its the easiest way to take ,,,,10,
IRON-SWRE-044,Swing review,Irons,Driving Range,GIR %,10,Take a video of your swing with different clubs and make sure you are within the required positions to perform. ,,,,10,
IRON-SECH-045,Set Up check,Irons,Driving Range,GIR 8ft,10,"Hitting 20 balls while checking your set up including grip, ball position, stance, posture, alignment.",,,,10,
IRON-9BAL-046,9 Ball flight irons,Irons,Driving Range,GIR 8ft,10,"Hitting all 9 ball flights with driver. Straight,draw,fade,high,low,medium combined into the 9.",,,,10,
IRON-SASD-047,Safe Side ,Irons,Driving Range,GIR 20ft,10,Designating a side that is an acceptable miss. Training a one way miss on purpose. ,,,,10,
IRON-STDR-048,Step Drill,Irons,Driving Range,GIR %,10,Stepping with the right root before the club moves second step with the left foot as the club reaches the top position. This gets the pressure shift happening correctly. ,,,,10,
IRON-FING-049,Finger Dispersion 9 Shots,Irons,Driving Range,GIR 8ft,10,"Practicing hitting between finger dispersions of your choosing. 1 Very hard, 2 Hard, 3. Medium, 4, Easy. To see if you can shot shape and still hit precise shots.",,,,10,
IRON-HB2F-050,Hit between 2 fingers consecutively,Irons,Driving Range,GIR 8ft,10,Hitting the same club over and over to see how many consecutive shots in a row you can hit between a 2 finger dispersion. ,,,,10,
IRON-HB3F-051,Hit between 3 fingers consecutively,Irons,Driving Range,GIR 20ft,10,Hitting the same club over and over to see how many consecutive shots in a row you can hit between a 3 finger dispersion. ,,,,10,
IRON-3SWG-052,3 Swing lengths,Irons,Driving Range,GIR %,10,"Performaing 3 different swing lengths. Shaft parallel, left arm parallel and full backswing. Building blocks for solid contact and make sure you can get all three in a row. ",,,,10,
IRON-RESP-053,Recovery Shot Practice,Irons,Driving Range,GIR %,10,Visualling recovery shots on the range and performing them so you can translate them to the course better.,,,,10,
IRON-RBFD-054,Repeatable Ball flight drill ,Irons,Driving Range,GIR 8ft,10,How many times in a row can you repeat the ball flight in a row. Main thing to look for is curve first then to get harder make sure they are starting on the correct side of the target. ,,,,10,
IRON-TETW-055,Tempo town,Irons,Driving Range,GIR 20ft,10,Practicing the smoothest tempo you can do. If you have the tour tempo app this would be perfect as well.,,,,10,
WEDG-CLSY-056,Clock System,Wedges,Driving Range,GIR 8ft,10,Practicing every position on the clock and checking distances as reference points on the golf course.,,,,10,
WEDG-RUSW-057,Ramping Up Speed Full Wedge Swing,Wedges,Driving Range,GIR %,10,Full wedge swings going from as slow as possible to as fast as possible while maintaining the same length swing. ,,,,10,
WEDG-LOFL-058,Low Flight,Wedges,Driving Range,GIR %,10,Hitting low flight wedges. This will help you chase them to a back pin or windy conditions. ,,,,10,
WEDG-MEDF-059,Medium Flight,Wedges,Driving Range,GIR %,10,"Hitting medium flighted wedges. Practicing the ball postion and swing mechanics to perform the medium, flighted wedge. ",,,,10,
WEDG-HIGF-060,High Flight,Wedges,Driving Range,GIR %,10,Hitting high flighted wedges. Great for stopping the ball on a dime when spin isnt an option. ,,,,10,
WEDG-CUTS-061,Cut spin,Wedges,Driving Range,GIR %,10,Practicing cut spin wedges to work them into flags and use slopes to get the ball closer to the hole and stop faster. ,,,,10,
WEDG-DRSP-062,Draw spin,Wedges,Driving Range,GIR %,10,Practicing draw spin wedges to work them into flags and use slopes to get the ball closer to the hole and stop slower. ,,,,10,
WEDG-CKDO-063,Choke Down,Wedges,Driving Range,GIR 8ft,10,See how griping down effects wedge distances and precision in your practice. ,,,,10,
WEDG-BAPO-064,Ball Position Effects,Wedges,Driving Range,GIR %,10,Practice the same wedge shot with a variety of ball positions to see the effect on spin launch and ball speed and how it can be used for certain shots.,,,,10,
WEDG-HN2F-065,Hit between 2 fingers consecutively,Wedges,Driving Range,GIR 8ft,10,Hitting wedges to see how many times in a row between the 2 finger dispersion,,,,10,
WEDG-HB1F-066,Hit between 1 finger consecutively,Wedges,Driving Range,GIR 8ft,10,Hitting wedges to see how many times in a row between the 1 finger dispersion,,,,10,
WEDG-LD1F-067,Ladder drill 1 finger 30-100m ,Wedges,Driving Range,GIR 8ft,10,Starting at 30m metres trying to land the ball between the one finger dispersion. Hitting 10m increments and seeing how many balls it takes to finish. Then trying to beat it again. ,,,,10,
WEDG-RHON-068,Right Hand only,Wedges,Driving Range,GIR %,10,Hitting right hand only wedge shots to sync the arms and the pivot togther. ,,,,10,
WEDG-LFON-069,Left Hand Only,Wedges,Driving Range,GIR %,10,Hitting left hand only wedge shots to sync the arms and the pivot togther. ,,,,10,
WEDG-TOWE-070,Towel Under the arms,Wedges,Driving Range,GIR %,10,Placing a towel up high underneath the arms in the arm pivot to sync the pivot and the arms together. ,,,,10,
WEDG-DIDE-071,Divot Depth ,Wedges,Driving Range,GIR %,10,Hitting wedge shots with no divots to steep divots to practice the skill of low point. And to see if you can perform them on command. See the differences of ball speed and trajectory/spin with each different divot style.,,,,10,
WEDG-LALA-072,Left Arm to Left Arm,Wedges,Driving Range,GIR %,10,Practicing the left arm to left arm technique to make sure you are not overswinging the wedges.,,,,10,
WEDG-30ME-073,30m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 30m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-40ME-074,40m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 40m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-50ME-075,50m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 50m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-60ME-076,60m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 60m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-70ME-077,70m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 70m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-80ME-078,80m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 80m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-90ME-079,90m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 90m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
WEDG-100M-080,100m,Wedges,Driving Range,GIR 8ft,10,Dialling in the 100m distance. Land it just before the 30m marker and just behind over and over again to learn how to hit the correct distance.,,,,10,
BUNK-JOTFL-081,Just over the Lip,Bunkers,Chipping Green,Bunker Saves,10,Hitting bunker shots just over the lip to get comfortable with landing the ball just outside the bunker without the fear of leaving it in. ,,,,10,
BUNK-SADE-082,Sand Depth,Bunkers,Chipping Green,Bunker Saves,10,Taking different amounts of sand to practice low point control. ,,,,10,
BUNK-LIDR-083,Line Drill,Bunkers,Chipping Green,Bunker Saves,10,Drawing a line in the sand and hover the edge just above it and hit exactly on that point. This will get your entry point better. ,,,,10,
BUNK-DHBS-084,Downhill Bunker Shot,Bunkers,Chipping Green,Bunker Saves,10,Practicing downhill bunker shots to see what things in your technique need to adapt for that lie. ,,,,10,
BUNK-UHBS-085,Uphill Bunker Shot,Bunkers,Chipping Green,Bunker Saves,10,Practicing uphill bunker shots to see what things in your technique need to adapt for that lie. ,,,,10,
BUNK-PBSH-086,Plugged Bunker Shot,Bunkers,Chipping Green,Bunker Saves,10,Practicing plugged bunker shot techniques from varying plugged lies to see how the ball behaves and if your technique can get it out. ,,,,10,
BUNK-ABFT-087,Above Feet,Bunkers,Chipping Green,Bunker Saves,10,Practicing above the feet bunker shots to see what things in your technique need to adapt for that lie. ,,,,10,
BUNK-UPDW-088,Up and down 9 holes,Bunkers,Chipping Green,Bunker Saves,10,Play 9 holes in different lies to see how you would score. Up and down counts as a par. Try and beat the last score and set a new record.,,,,10,
BUNK-LOSP-089,Low Spin ,Bunkers,Chipping Green,Bunker Saves,10,Practicing bunker shots with zero spin so they can roll out to the pin. This is one of the safer bunker shots. ,,,,10,
BUNK-MEDP-090,Medium Spin,Bunkers,Chipping Green,Bunker Saves,10,Medium spin bunker shot that has a little bit of grab then rolls out. ,,,,10,
BUNK-HSPN-091,High Spin,Bunkers,Chipping Green,Bunker Saves,10,High spin bunker shot that can spin backswards. This is a risky shot and should be a last resort.,,,,10,
BUNK-5MBK-092,5m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 5m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
BUNK-10MB-093,10m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 10m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
BUNK-15MB-094,15m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 15m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
BUNK-20MB-095,20m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 20m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
BUNK-25MB-096,25m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 25m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
BUNK-30BS-097,30m Bunker,Bunkers,Chipping Green,Bunker Saves,10,Practicing a 30m landing bunker shot. Feeling the speed of the club and interaction of the sand as well as swing length to consistent perform the shot. ,,,,10,
MENT-RIRO-098,Routine Irons/Driver,Mental/Strategy,Driving Range,GIR %,10,Working through your oncourse routine with irons and driver. Timing yourself to get the closet time as possible. ,,,,10,
MENT-RIRW-099,Routine Wedges/Chipping,Mental/Strategy,Chipping Green,GIR %,10,Working through your oncourse routine with wedges and chipping. Timing yourself to get the closet time as possible. ,,,,10,
MENT-VISU-100,Visualisation,Mental/Strategy,Driving Range,GIR %,10,Seeing yourself hit the perfect driving shot on a hole behind the ball before you hit the shot. Practicing the feeling of the perfect shot before you hit it. ,,,,10,
MENT-NOTH-101,No thought hit drill,Mental/Strategy,Driving Range,GIR %,10,Walking straight into the ball from behind and as soon as your feet touch the ground go. This gets you to be reactive and not be thinking through the swing. ,,,,10,
MENT-OHPT-102,Opening hole play through,Mental/Strategy,Driving Range,FIR %,10,Practicing the opening hole with recovery shots if needed. Getting you ready to play on the course. Having real outcomes on the range. ,,,,10,
MENT-ENVI-103,Environmental ,Mental/Strategy,Driving Range,GIR %,10,"Hitting shots on the range for different wind directions, rain, cold and heat. Adapting decisions for the environment. ",,,,10,
MENT-COMI-104,Course Map Irons,Mental/Strategy,Driving Range,GIR %,10,Hitting iron shots for the 18 holes on the golf course if you were to hit a perfect shot of the tee. ,,,,10,
MENT-COMD-105,Course Map Driver,Mental/Strategy,Driving Range,FIR %,10,Playing the entire golf course's tee shots on the range to know you can hit the shot. ,,,,10,
9HOL-REDT-106,Red Tees,9-Hole Round,Course,Gross Score,135,Trying to go as low as possible of the red tees. To be comfortable being under par or under your handicap. ,,,,135,
9HOL-YELT-107,Yellow Tees,9-Hole Round,Course,Gross Score,135,Trying to go as low as possible of the yellow tees. To be comfortable being under par or under your handicap. ,,,,135,
9HOL-COMP-108,Competition Tees,9-Hole Round,Course,Gross Score,135,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,135,
9HOL-TIGR-109,Tiger Tees,9-Hole Round,Course,Gross Score,135,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,135,
9HOL-ONCE-110,One club extra,9-Hole Round,Course,Gross Score,135,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,135,
9HOL-TWCE-111,Two clubs extra,9-Hole Round,Course,Gross Score,135,Playing every shot with two clubs up to force you to get creative and smooth out your speed.,,,,135,
9HOL-ODDC-112,Odd clubs,9-Hole Round,Course,Gross Score,135,Only playing odd clubs excluding putter on course to get creative with distance control.,,,,135,
9HOL-EVCL-113,Even Clubs,9-Hole Round,Course,Gross Score,135,Only playing even clubs excluding putter on course to get creative with distance control.,,,,135,
18HO-REDT-114,Red Tees,18-Hole Round,Course,Gross Score,270,Trying to go as low as possible of the red tees. To be comfortable being under par or under your handicap. ,,,,270,
18HO-YELT-115,Yellow Tees,18-Hole Round,Course,Gross Score,270,Trying to go as low as possible of the yellow tees. To be comfortable being under par or under your handicap. ,,,,270,
18HO-COMT-116,Competition Tees,18-Hole Round,Course,Gross Score,270,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,270,
18HO-TIGR-117,Tiger Tees,18-Hole Round,Course,Gross Score,270,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,270,
18HO-OCEX-118,One club extra,18-Hole Round,Course,GIR %,270,Practicing decision making off the competition tees to gain confidence in the shot selection. ,,,,270,
18HO-TWOC-119,Two clubs extra,18-Hole Round,Course,GIR %,270,Playing every shot with two clubs up to force you to get creative and smooth out your speed.,,,,270,
18HO-ODCL-120,Odd clubs,18-Hole Round,Course,Gross Score,270,Only playing odd clubs excluding putter on course to get creative with distance control.,,,,270,
18HO-EVCL-121,Even Clubs,18-Hole Round,Course,Gross Score,270,Only playing even clubs excluding putter on course to get creative with distance control.,,,,270,
PUTT-2PUT-122,2 Putt game,Putting,Putting Green,Total Putts,10,Start from one large step away from the hole and drop the ball. 2 Putts to get it in the hole. After holing out you now take 2 large steps away from the hole. Continue the process until you miss. Try and beat your record of how many strokes.,,,,15,
,Chalk Line,Putting,Putting Green,<6ft Make %,10,Set up a chalk line from 5 feet on a straight putt. Make sure you place a towel under your feet when doing bulk practice. Hit putts along the chalk line rolling the ball perfectly on it. This is how to practice start line. ,,,,15,
,Start Line Gate Drill 5 Foot Straight,Putting,Putting Green,<6ft Make %,10,Place 2 tees one foot in front of the ball on the perfect starting line just bigger than the size of a golf ball so that the ball has to roll through them. Bulk practice hitting putts through the gate. Dont steer your putts let the gate teach you how to hit it straight. ,,,,15,
,Start Line Gate Drill 5 Foot R to L,Putting,Putting Green,<6ft Make %,10,Place 2 tees one foot in front of the ball on the perfect starting line just bigger than the size of a golf ball so that the ball has to roll through them. Bulk practice hitting putts through the gate. Dont steer your putts let the gate teach you how to hit it straight. ,,,,15,
,Start Line Gate Drill 5 Foot L to R,Putting,Putting Green,<6ft Make %,10,Place 2 tees one foot in front of the ball on the perfect starting line just bigger than the size of a golf ball so that the ball has to roll through them. Bulk practice hitting putts through the gate. Dont steer your putts let the gate teach you how to hit it straight. ,,,,15,
,Leap Frog Speed Control,Putting,Putting Green,Total Putts,10,"Place a marker at the starting position and a target ball 5 feet away. The objective is to roll a putt that stops within one foot past the target ball without actually hitting it. If you successfully land the ball in that zone, move to the next attempt and try to continue the streak. If the ball hits the target or stops outside the designated one-foot area, you must reset and start over from zero. The goal is to achieve the highest number of successful putts in a row.",,,,15,
,Just Short Just Long Just Right,Putting,Putting Green,Total Putts,10,"Place a marker at the starting position and aim toward a target hole at a chosen distance. Your goal is to complete a specific sequence of four putts in a row to develop elite speed control. First, hit a putt that finishes exactly one club length past the hole. Second, hit a putt that finishes exactly one club length short of the hole. Third, hit a putt that finishes a half club length past the hole, followed by a final putt that finishes a half club length short. If any putt in the sequence fails to land within the designated distance or strikes the hole, you must reset the entire process and start over from the first putt. The objective is to complete the full four-putt rotation successfully without any errors in speed or distance.",,,,15,
,Eyes Closed Guessing,Putting,Putting Green,Total Putts,10,"Select a target at a specific distance and prepare to hit a series of putts toward it. Immediately after making contact with the ball, close your eyes and visualize where the ball will stop based purely on the feel of the strike. By removing your visual feedback, you force yourself to become more conscious of the physical sensations and tempo required to control distance. After each putt, guess the result before opening your eyes to see how closely your internal feel matches the actual outcome. The goal is to calibrate your senses so that your perceived speed and the actual distance traveled become perfectly synchronized.",,,,15,
,Entry point,Putting,Putting Green,<6ft Make %,10,"Place two tees the width of a golf hole exactly one foot in front of the cup, centered on your intended line. Your goal is to roll the putt through this narrow gate and into the hole without the ball striking either tee. This drill forces you to commit to a specific start line while ensuring the ball has the correct pace to hold its line through the gate. If you hit a tee or miss the cup, the attempt is unsuccessful and you must reset. The objective is to sharpen your short-range accuracy and visual focus by successfully navigating the gate and holing the putt consistently.",,,,15,
,Aim Point 6foot and In,Putting,Putting Green,Total Putts,10,"Set up a variety of putts from 6 feet and in at different locations around a hole to practice your AimPoint reads. For each putt, use your feet to feel the slope, determine the correct AimPoint finger read, and select your specific aim spot. Once the read is established, focus entirely on executing your routine and rolling the ball over your chosen start line with consistent speed. This drill is designed to refine your green-reading process and build trust in your numbers by seeing the ball consistently find the center of the cup. The objective is to complete a set number of successful putts while strictly following your read-and-react sequence to solidify your confidence from short range.",,,,15,
,Aim Point 8foot to 20ft,Putting,Putting Green,Total Putts,10,"Select a series of mid-range putts between 8 and 20 feet on a green with various slopes. For these longer distances, start by standing halfway between the ball and the hole to feel the primary slope with your feet, then move to a point two-thirds of the way to the hole to check for any late changes in the break. Identify the highest slope percentage you felt (on a scale of 1 to 5) and return to a position approximately two feet behind the ball. Extend your arm and hold up the number of fingers corresponding to that maximum slope value, aligning the outside edge of your hand with the center of the cup. The inside edge of your fingers now marks your precise aim point on the green. Focus on starting the ball exactly on this line with enough speed to finish 12 inches past the hole. The goal is to trust the multi-point read and eliminate mid-stroke compensations, building confidence in your ability to marry distance and direction on mid-range putts.",,,,15,
,Aim Point 21foot to 40ft,Putting,Putting Green,Total Putts,10,"Identify a series of long-range putts between 21 and 40 feet on a green with significant elevation changes or multiple breaks. For these longer distances, divide the putt into three equal sections and walk the line to feel the slope with your feet at the one-third, middle, and two-thirds points. Determine the average slope percentage across the entire distance and return to a position approximately three feet behind the ball. Because of the increased distance, your arm extension and finger alignment must be incredibly precise to account for the larger break required. Hold up the number of fingers that match your read, centering them on the hole to find your target line, then focus entirely on delivering the ball with enough speed to reach the ""drop zone"" just past the cup. The objective is to simplify complex, long-distance breaks into a single, confident starting line, ensuring your lag putting consistently leaves you with an easy second putt.",,,,15,
